raw_filename,degraded_filename,degradation_type,degraded_path,prompt
raw_0001.png,deg_0001_dark.png,dark,degraded\dark\deg_0001_dark.png,"A cat holding a red umbrella in the rain, realistic photo, detailed, natural lighting"
raw_0001.png,deg_0001_low_contrast.png,low_contrast,degraded\low_contrast\deg_0001_low_contrast.png,"A cat holding a red umbrella in the rain, realistic photo, detailed, natural lighting"
raw_0001.png,deg_0001_blurry.png,blurry,degraded\blurry\deg_0001_blurry.png,"A cat holding a red umbrella in the rain, realistic photo, detailed, natural lighting"
raw_0001.png,deg_0001_noisy.png,noisy,degraded\noisy\deg_0001_noisy.png,"A cat holding a red umbrella in the rain, realistic photo, detailed, natural lighting"
raw_0001.png,deg_0001_color_shift.png,color_shift,degraded\color_shift\deg_0001_color_shift.png,"A cat holding a red umbrella in the rain, realistic photo, detailed, natural lighting"
raw_0002.png,deg_0002_dark.png,dark,degraded\dark\deg_0002_dark.png,"A farmer harvesting tomatoes in a greenhouse, realistic photo, detailed, natural lighting"
raw_0002.png,deg_0002_low_contrast.png,low_contrast,degraded\low_contrast\deg_0002_low_contrast.png,"A farmer harvesting tomatoes in a greenhouse, realistic photo, detailed, natural lighting"
raw_0002.png,deg_0002_blurry.png,blurry,degraded\blurry\deg_0002_blurry.png,"A farmer harvesting tomatoes in a greenhouse, realistic photo, detailed, natural lighting"
raw_0002.png,deg_0002_noisy.png,noisy,degraded\noisy\deg_0002_noisy.png,"A farmer harvesting tomatoes in a greenhouse, realistic photo, detailed, natural lighting"
raw_0002.png,deg_0002_color_shift.png,color_shift,degraded\color_shift\deg_0002_color_shift.png,"A farmer harvesting tomatoes in a greenhouse, realistic photo, detailed, natural lighting"
raw_0003.png,deg_0003_dark.png,dark,degraded\dark\deg_0003_dark.png,"A fox sleeping under a tree in autumn, realistic photo, detailed, natural lighting"
raw_0003.png,deg_0003_low_contrast.png,low_contrast,degraded\low_contrast\deg_0003_low_contrast.png,"A fox sleeping under a tree in autumn, realistic photo, detailed, natural lighting"
raw_0003.png,deg_0003_blurry.png,blurry,degraded\blurry\deg_0003_blurry.png,"A fox sleeping under a tree in autumn, realistic photo, detailed, natural lighting"
raw_0003.png,deg_0003_noisy.png,noisy,degraded\noisy\deg_0003_noisy.png,"A fox sleeping under a tree in autumn, realistic photo, detailed, natural lighting"
raw_0003.png,deg_0003_color_shift.png,color_shift,degraded\color_shift\deg_0003_color_shift.png,"A fox sleeping under a tree in autumn, realistic photo, detailed, natural lighting"
raw_0004.png,deg_0004_dark.png,dark,degraded\dark\deg_0004_dark.png,"A musician playing a violin on a quiet street, realistic photo, detailed, natural lighting"
raw_0004.png,deg_0004_low_contrast.png,low_contrast,degraded\low_contrast\deg_0004_low_contrast.png,"A musician playing a violin on a quiet street, realistic photo, detailed, natural lighting"
raw_0004.png,deg_0004_blurry.png,blurry,degraded\blurry\deg_0004_blurry.png,"A musician playing a violin on a quiet street, realistic photo, detailed, natural lighting"
raw_0004.png,deg_0004_noisy.png,noisy,degraded\noisy\deg_0004_noisy.png,"A musician playing a violin on a quiet street, realistic photo, detailed, natural lighting"
raw_0004.png,deg_0004_color_shift.png,color_shift,degraded\color_shift\deg_0004_color_shift.png,"A musician playing a violin on a quiet street, realistic photo, detailed, natural lighting"
raw_0005.png,deg_0005_dark.png,dark,degraded\dark\deg_0005_dark.png,"A doctor checking a patient in a clean clinic, realistic photo, detailed, natural lighting"
raw_0005.png,deg_0005_low_contrast.png,low_contrast,degraded\low_contrast\deg_0005_low_contrast.png,"A doctor checking a patient in a clean clinic, realistic photo, detailed, natural lighting"
